"","id","l","y","costofl","sales","k","indcode","sector","age"
"3259",3259,1036,15696,7358,131909,68059,40,"manufacturing",7
"3260",3260,24,312,147,2780,757,24,"manufacturing",11
"3261",3261,950,7427,4729,132728,23862,51,"services",10
"3262",3262,1167,12593,10607,24836,17153,14,"manufacturing",51
"3263",3263,103,829,931,3345,6286,26,"manufacturing",29
"3264",3264,257,2425,1561,6826,4697,21,"manufacturing",28
"3265",3265,187,3073,1284,26558,18577,15,"manufacturing",44
"3266",3266,37,98,132,1680,800,51,"services",51
"3267",3267,380,2341,1625,10257,5950,29,"manufacturing",30
"3268",3268,181,711,805,8684,4201,52,"services",52
"3269",3269,1300,17984,15899,173895,112905,15,"manufacturing",9
"3270",3270,264,1409,1159,4457,2077,17,"manufacturing",51
"3271",3271,450,4321,2217,14391,6448,29,"manufacturing",28
"3272",3272,678,3387,3743,21086,8320,20,"manufacturing",50
"3273",3273,495,1722,1383,5273,3169,26,"manufacturing",33
"3274",3274,402,4839,3385,29990,10843,31,"manufacturing",7
"3275",3275,114,3466,865,6519,9359,74,"services",8
"3276",3276,762,2113,2891,9596,10195,15,"manufacturing",39
"3277",3277,915,8032,5664,136720,112957,29,"manufacturing",7
"3278",3278,222,721,789,3930,2608,20,"manufacturing",6
"3279",3279,103,3208,1316,10671,4445,51,"services",13
"3280",3280,639,1564,2216,4474,4832,18,"manufacturing",7
"3281",3281,100,1797,1665,68511,6355,51,"services",10
"3282",3282,7012,91070,36514,1481336,325916,51,"services",10
"3283",3283,59,1032,650,6627,9686,52,"services",16
"3284",3284,805,16797,10916,86080,43222,15,"manufacturing",8
"3285",3285,272,1417,1880,12063,3293,45,"services",25
"3286",3286,610,4452,3730,16103,5593,20,"manufacturing",51
"3287",3287,170,708,659,2240,774,45,"services",49
"3288",3288,34,153,186,1901,787,51,"services",54
"3289",3289,414,299,545,1120,3909,29,"manufacturing",25
"3290",3290,850,3625,3159,8787,5397,28,"manufacturing",8
"3291",3291,720,9746,3469,49520,35120,31,"manufacturing",7
"3292",3292,103,2273,4942,24605,14864,51,"services",11
"3293",3293,141,3951,1100,71494,35783,51,"services",9
"3294",3294,634,2342,3169,14623,6851,29,"manufacturing",34
"3295",3295,201,1481,1198,4346,1699,31,"manufacturing",9
"3296",3296,150,1233,571,3114,2073,45,"services",9
"3297",3297,339,1401,3427,42843,16678,15,"manufacturing",44
"3298",3298,666,3333,2909,6671,6575,29,"manufacturing",18
"3299",3299,1300,11515,9390,23607,9574,29,"manufacturing",37
"3300",3300,1578,14243,12715,40596,11989,45,"services",40
"3301",3301,75,4774,1819,49481,17672,22,"manufacturing",6
"3302",3302,619,5665,3481,10184,13866,35,"manufacturing",8
"3303",3303,4000,14519,17276,57478,86319,29,"manufacturing",7
"3304",3304,2077,90149,19786,345901,336875,21,"manufacturing",28
"3305",3305,624,4186,1559,9526,15830,36,"manufacturing",6
"3306",3306,255,5853,6158,49976,31788,52,"services",9
"3307",3307,46,1158,488,28328,4965,51,"services",9
"3308",3308,1800,5850,5539,8082,1907,74,"services",6
"3309",3309,200,1138,766,29673,6535,51,"services",12
"3310",3310,6927,187948,95006,267488,317000,92,"services",48
"3311",3311,920,19868,7461,271140,144613,16,"manufacturing",49
"3312",3312,140,1172,579,29458,5250,51,"services",7
"3313",3313,192,1646,1105,11479,8163,15,"manufacturing",6
"3314",3314,190,8207,2189,40612,34978,15,"manufacturing",7
"3315",3315,538,2876,2123,9597,5191,20,"manufacturing",11
